"","Activity Type","Date","Favorite","Title","Distance","Calories","Time","Avg HR","Max HR","Aerobic TE","Avg Run Cadence","Max Run Cadence",Avg_Pace,"Best Pace","Elev Gain","Elev Loss","Avg Stride Length","Avg Vertical Ratio","Avg Vertical Oscillation","Avg Ground Contact Time","Avg GCT Balance","Training Stress Score®","Grit","Flow","Climb Time","Bottom Time","Min Temp","Surface Interval","Decompression","Best Lap Time","Number of Laps","Max Temp","date","avgpace"
"1","Running","12/11/20 11:59",FALSE,"Linn County - W13D4-Intervals",3.01,352,00:30:48,174,187,3.9,166,192,10:15:00,09:01:00,"--","3",0.95,8.8,8.5,"271","50.2% L / 49.8% R",0,"0",0,NA,00:00:00,0,00:00:00,"No",00:48:00,12,0,2020-12-11 11:59:00,36900
"2","Running","12/10/20 10:37",FALSE,"Linn County - W13D3-Easy Run",3,281,00:34:14,133,156,2.3,157,183,11:25:00,09:01:00,"3","3",0.9,0,0,"--","--",0,"0",0,NA,00:00:00,0,00:00:00,"No",04:14:00,4,0,2020-12-10 10:37:00,41100
"3","Running","12/9/20 13:32",FALSE,"Linn County - W13D2-Threshold Run",4.17,479,00:45:01,163,183,3.8,160,233,10:48:00,08:47:00,"6","6",0.93,0,0,"--","--",0,"0",0,NA,00:00:00,0,00:00:00,"No",00:01:00,7,0,2020-12-09 13:32:00,38880
"4","Running","12/8/20 13:33",FALSE,"Linn County - W12D7-Long Run",5.11,605,01:00:02,155,171,3.5,151,195,11:45:00,09:01:00,"20","20",0.91,0,0,"--","--",0,"0",0,01:00:02,00:00:00,0,00:00:00,"No",00:02:00,7,0,2020-12-08 13:33:00,42300
"5","Running","12/7/20 13:45",FALSE,"Lincoln County - W12D6-Fartlek",4.34,474,00:45:04,156,182,3.7,160,175,10:24:00,08:57:00,"32","65",0.97,0,0,"--","--",0,"0",0,NA,00:00:00,0,00:00:00,"No",00:04:00,6,0,2020-12-07 13:45:00,37440
"6","Running","12/4/20 12:07",FALSE,"Linn County - W12D4-Easy Run",3.11,357,00:35:55,151,174,2.9,155,169,11:33:00,07:54:00,"2","5",0.9,0,0,"--","--",0,"0",0,NA,00:00:00,0,00:00:00,"No",05:54:00,4,0,2020-12-04 12:07:00,41580
"7","Running","12/3/20 11:54",FALSE,"Linn County - W12D3-Intervals",4.01,352,00:40:49,140,165,2.8,163,183,10:11:00,08:36:00,"17","17",0.96,0,0,"--","--",0,"0",0,NA,00:00:00,0,00:00:00,"No",00:49:00,12,0,2020-12-03 11:54:00,36660
"8","Running","12/2/20 9:34",FALSE,"Linn County - W12D2a-Easy Run",3.01,331,00:31:53,159,182,3.4,159,175,10:35:00,09:15:00,"9","12",0.96,0,0,"--","--",0,"0",0,NA,00:00:00,0,00:00:00,"No",01:53:00,4,0,2020-12-02 09:34:00,38100
"9","Running","11/30/20 14:50",FALSE,"Lincoln County - W11D6a-Recovery Run",2.73,290,00:30:02,153,181,3,157,183,11:00:00,07:56:00,"11","43",0.93,0,0,"--","--",0,"0",0,NA,00:00:00,0,00:00:00,"No",00:01:00,4,0,2020-11-30 14:50:00,39600
"10","Running","11/29/20 10:46",FALSE,"Lincoln County - W11D7-Long Run",10.35,1117,02:00:02,156,181,3.4,154,169,11:36:00,08:11:00,"435","438",0.9,0,0,"--","--",0,"0",0,02:00:02,00:00:00,0,00:00:00,"No",00:02:00,12,0,2020-11-29 10:46:00,41760
"11","Running","11/28/20 13:40",FALSE,"Lincoln County - W11D5-Intervals",3.27,334,00:34:01,153,180,3.2,164,175,10:23:00,09:16:00,"116","176",0.95,0,0,"--","--",0,"0",0,NA,00:00:00,0,00:00:00,"No",00:01:00,7,0,2020-11-28 13:40:00,37380
"12","Running","11/26/20 10:23",FALSE,"Lincoln County - W11D3-Threshold Run",4.03,435,00:40:03,167,189,4.1,164,250,09:57:00,07:10:00,"49","69",0.98,0,0,"--","--",0,"0",0,NA,00:00:00,0,00:00:00,"No",00:03:00,6,0,2020-11-26 10:23:00,35820
"13","Running","11/25/20 15:48",FALSE,"Linn County - W11D2-Easy Run",3.55,402,00:40:02,156,182,3.5,156,175,11:17:00,06:58:00,"17","17",0.91,0,0,"--","--",0,"0",0,NA,00:00:00,0,00:00:00,"No",00:01:00,5,0,2020-11-25 15:48:00,40620
"14","Running","11/23/20 11:53",FALSE,"Lincoln County - W10D7-Long Run",9.1,1047,01:45:03,157,180,4.2,153,236,11:33:00,07:03:00,"226","230",0.91,0,0,"--","--",0,"0",0,01:45:03,00:00:00,0,00:00:00,"No",00:03:00,11,0,2020-11-23 11:53:00,41580
"15","Running","11/22/20 9:44",FALSE,"Lincoln County - W10D6-Intervals",4.56,403,00:46:01,144,182,3.2,163,180,10:06:00,08:20:00,"47","79",0.97,0,0,"--","--",0,"0",0,NA,00:00:00,0,00:00:00,"No",00:00:00,11,0,2020-11-22 09:44:00,36360
"16","Running","11/19/20 16:02",FALSE,"Linn County - W10D3-Intervals",3.61,403,00:40:03,162,188,3.7,156,170,11:05:00,09:31:00,"13","13",0.92,0,0,"--","--",0,"0",0,NA,00:00:00,0,00:00:00,"No",00:03:00,12,0,2020-11-19 16:02:00,39900
"17","Running","11/18/20 13:38",FALSE,"Linn County - W10D2-Easy Run",3.01,327,00:33:25,157,184,3.3,157,232,11:06:00,09:18:00,"22","22",0.92,0,0,"--","--",0,"0",0,NA,00:00:00,0,00:00:00,"No",03:25:00,4,0,2020-11-18 13:38:00,39960
"18","Running","11/17/20 13:31",FALSE,"Linn County - W09D6-Fartlek",4.08,451,00:45:04,161,185,3.8,158,178,11:03:00,08:43:00,"16","16",0.92,0,0,"--","--",0,"0",0,NA,00:00:00,0,00:00:00,"No",00:03:00,6,0,2020-11-17 13:31:00,39780
"19","Running","11/15/20 9:34",FALSE,"Lincoln County - W09D4a-Easy Run",3.01,155,00:31:10,109,120,1.2,163,173,10:22:00,09:04:00,"48","50",0.95,0,0,"--","--",0,"0",0,NA,00:00:00,0,00:00:00,"No",01:10:00,4,0,2020-11-15 09:34:00,37320
"20","Running","11/14/20 11:34",FALSE,"Linn County - W09D3-Intervals",3.61,363,00:40:59,148,188,3.3,155,171,11:22:00,09:49:00,"17","18",0.91,0,0,"--","--",0,"0",0,NA,00:00:00,0,00:00:00,"No",00:59:00,8,0,2020-11-14 11:34:00,40920
"21","Running","11/13/20 9:20",FALSE,"Linn County - W09D7-Long Run",8.01,857,01:34:54,162,180,3.9,153,167,11:51:00,09:47:00,"34","34",0.89,0,0,"--","--",0,"0",0,01:34:54,00:00:00,0,00:00:00,"No",04:54:00,9,0,2020-11-13 09:20:00,42660
"22","Running","11/11/20 14:24",FALSE,"Linn County - W09D2a-Easy Run",3.71,413,00:42:43,158,176,3.6,154,175,11:31:00,10:05:00,"12","20",0.91,0,0,"--","--",0,"0",0,NA,00:00:00,0,00:00:00,"No",02:42:00,5,0,2020-11-11 14:24:00,41460
"23","Running","11/10/20 13:38",FALSE,"Linn County - W08D7-10K Race",6.22,703,01:05:31,171,192,5,161,172,10:32:00,08:52:00,"23","23",0.95,0,0,"--","--",0,"0",0,01:05:31,00:00:00,0,00:00:00,"No",02:22:00,7,0,2020-11-10 13:38:00,37920
"24","Running","11/9/20 9:09",FALSE,"Lincoln County - W08D6-Easy Run",2.01,216,00:23:09,152,176,2.9,154,168,11:31:00,09:16:00,"42","47",0.91,0,0,"--","--",0,"0",0,23:09:00,00:00:00,0,00:00:00,"No",03:08:00,3,0,2020-11-09 09:09:00,41460
"25","Running","11/7/20 8:36",FALSE,"Linn County - W08D4-Threshold Run",2.61,298,00:31:22,159,175,3.1,152,168,12:02:00,09:59:00,"--","--",0.88,0,0,"--","--",0,"0",0,NA,00:00:00,0,00:00:00,"No",01:22:00,4,0,2020-11-07 08:36:00,43320
"26","Running","11/6/20 8:53",FALSE,"Linn County - W08D3-Easy Run",3.01,343,00:36:50,153,174,3.1,150,168,12:14:00,10:16:00,"3","3",0.87,0,0,"--","--",0,"0",0,NA,00:00:00,0,00:00:00,"No",05:36:00,4,0,2020-11-06 08:53:00,44040
